ui_surface	owner_cluster	source_paths	rw16_targets	current_evidence	remaining_gap	duplicate_guard
main_menu_zombieland_entry	settings;ui	Source/Patches.cs:5793;Source/Patches.cs:5803;Source/Patches.cs:5811;Source/ListableOption_Zombieland.cs	RimWorld.MainTabWindow_Menu.RequestedTabSize;RimWorld.MainTabWindow_Menu.DoWindowContents;RimWorld.MainMenuDrawer.DoMainMenuControls	Live S-Settings-Persistence menu evidence decompiled all three targets, opened the real Menu main tab, proved size 450x442 versus vanilla 450x390, found Zombieland and Brrainz entries, clicked Zombieland, and opened Dialog_ModSettings with clean logs.	Do not retest menu injection unless these patch targets or menu code changes. Remaining settings work belongs to default restart persistence, save-then-uninstall, or mouse-driven row edits.	B.SETTINGS.WORLD_DEFAULTS owns behavior; this row only prevents duplicate menu UI testing.
settings_dialog_modals	settings;ui	Source/Main.cs;Source/ZombieSettings.cs;Source/SettingsDialog.cs;Source/Dialog_Settings.cs;Source/Dialog_AdvancedSettings.cs;Source/Dialog_ApparelBlacklist.cs;Source/Dialog_BiomeList.cs;Source/Dialog_ThumperSettings.cs	RimWorld.Dialog_ModSettings;Verse.ModSettings.ExposeData;RimWorld.Planet.WorldComponent.ExposeData;Verse.Widgets.ButtonInvisible;Verse.Widgets.RadioButton;Verse.Widgets.Checkbox	Live settings_state evidence covers settings fixture save-load, keyframe interpolation, real Dialog_ModSettings construction, mouse-driven new-colony wizard settings, apparel/biome/advanced/thumper modal backing state, mouse-driven main settings radio and Threat scale slider edits, source/decompiler-backed text/numeric field disposition, mouse-driven advanced/biome checkbox edits, mouse-driven apparel Select All/Deselect All button edit, Show zombie statistics alert toggle, Zombies health bar overlay toggle, downstream behavior, and colonist gizmo command delegates with clean logs. The 2026-06-01 source/decompiler reread confirmed the remaining visible SettingsDialog controls share the already-evidenced radio/checkbox/slider/numeric/button helper paths.	No open settings baseline UI gap remains; add future settings UI work only for named downstream UI-edit/effect pairs, changed settings UI code, or regressions.	Do not duplicate settings math/persistence in visual/UI rows.
area_manage_dialog	hostility_area;ui	Source/ZombieAreaManager.cs:255;Source/ZombieAreaManager.cs:271	Verse.AreaManager.CanMakeNewAllowed;Verse.AreaManager.SortAreas;RimWorld.Dialog_ManageAreas..ctor;RimWorld.Dialog_ManageAreas.DoWindowContents	Live area_workflow_state opened real Dialog_ManageAreas, proved unlimited/custom ordering/reset behavior, saved ZL_Area_Workflow_base.rws, reloaded five risk-mode areas, captured zl_area_workflow_manage_areas__clip.png, and had clean logs.	No open area-management UI gap unless the dialog layout code changes.	I/S-Area-Workflow owns area behavior; do not rerun under J just because it is UI.
danger_warning_message_offset	hostility_area;ui	Source/ZombieAreaManager.cs;Source/Patches.cs:5988;Source/Patches.cs:5999	Verse.Messages.MessagesDoGUI;Verse.Message.Draw	Live warning-ui evidence records installed patch owners, creates danger entries and a real live message, proves Message.Draw y offset 16->45 only while warningShowing=true, captures zl_area_warning_ui.png, and has clean logs.	No open warning/message-offset UI gap unless warning layout changes.	I/S-Area-Workflow owns warning behavior.
top_right_zombie_count_readout	incidents;ui;rendering	Source/Patches.cs:321	RimWorld.GlobalControlsUtility.DoDate	Live incident_threat_state decompiled DoDate and proved zombie-count readout geometry, highlight behavior, and no overlap with vanilla date readout with clean logs.	Optional final screenshot-only pass if J visual smoke needs a consolidated image.	H/S-Incident-Threat owns the readout behavior.
threat_forecast_tooltip	incidents;ui;rendering	Source/Patches.cs:321;Source/ZombieWeather.cs	RimWorld.GlobalControlsUtility.DoDate	Live incident_threat_state proved dynamic threat readout and tooltip placement; screenshot zl_forecast_tooltip_preview__clip.png captured the rendered preview with clean logs.	No open tooltip behavior gap; only rerun if forecast UI code changes or final visual smoke requires a fresh screenshot.	H/S-Incident-Threat owns forecast behavior.
contamination_overlay_toggle	contamination;ui;rendering	Source/ContaminationPatches.cs:135;Source/Patches.cs:184	RimWorld.PlaySettings.DoPlaySettingsGlobalControls;RimWorld.MapInterface.MapInterfaceUpdate	Live C6 contamination UI quest evidence covers toggle presentation and map contamination overlay with screenshots/log cleanliness; decompiler confirms PlaySettings still dispatches map/world controls and MapInterfaceUpdate still draws map overlays after SelectionDrawer. Clean-negative pawn/corpse screenshots show no stray contamination overlay artifacts.	No open baseline gap; direct play-settings click/no-displacement is patch-row polish only if the toolbar changes.	G.CONTAMINATION.C6_UI_QUEST owns contamination behavior.
contamination_mouseover_inspect_icon	contamination;ui;rendering	Source/ContaminationPatches.cs:81;Source/ContaminationPatches.cs:100;Source/ContaminationPatches.cs:150;Source/ContaminationPatches.cs:202;Source/ContaminationPatches.cs:215;Source/ContaminationPatches.cs:257	Verse.Thing.SpecialDisplayStats;Verse.Widgets.ThingIcon(Rect,Thing,float,Rot4?,bool,float,bool);Verse.MouseoverReadout.MouseoverReadoutOnGUI;RimWorld.InspectPaneUtility.PaneWidthFor;RimWorld.InspectPaneFiller.DoPaneContentsFor;RimWorld.BeautyDrawer.DrawBeautyAroundMouse	Live C6 evidence covers stat presentation, clean versus contaminated mouseover/glow labels, inspect-pane contamination bar, inspect-pane width increase, selected thing icon overlay, Shift-held beauty replacement, and clean pawn/corpse negative screenshots with clean logs.	No open clean-negative UI gap in the core active-mod configuration.	G.CONTAMINATION.C6_UI_QUEST owns this row; F.RENDERING.VISUALS may cite it.
debug_pathing_and_pheromone_overlays	debug;ui	Source/Patches.cs:139;Source/Patches.cs:184;Source/Patches.cs:274	RimWorld.SelectionDrawer.DrawSelectionOverlays;RimWorld.MapInterface.MapInterfaceUpdate;RimWorld.MapInterface.MapInterfaceOnGUI_AfterMainTabs	Source/decompiler pass confirms the patched UI hooks still exist and remain suitable: selection overlays call DrawExtraSelectionOverlays, MapInterfaceUpdate draws map overlays/components, and AfterMainTabs is still a repaint-stage GUI hook.	Runtime proof is unnecessary unless debug constants become a supported user-facing scenario; otherwise keep source-audited only.	Debug-only surfaces should not block J visual coverage.
zombie_health_bars_and_labels	rendering;ui	Source/Zombie.cs:553;Source/ZombieCorpse.cs:68;Source/ZombieSpitterCorpse.cs:53	Thing.DrawGUIOverlay overrides	Source/decompiler pass confirmed `Zombie.DrawGUIOverlay()` still sits on the RimWorld 1.6 pawn overlay path, and live settings evidence toggled the visible `Zombies health bar` checkbox against a hovered damaged zombie. Screenshot `zl_settings_show_health_bar_on_damaged_full.png` shows the blue bar; paired `zl_settings_show_health_bar_off_damaged_full.png` removes it, with 3000 changed pixels in the overlay bbox.	No open baseline health-bar UI gap remains; broaden only for changed overlay code, corpse/special label changes, or a named visual regression.	F.RENDERING.VISUALS owns this; settings-visible toggle evidence is cited from B.SETTINGS.WORLD_DEFAULTS.
defense_gizmos_and_floatmenus	buildings_items;ui	Source/Chainsaw.cs:213;Source/ZombieThumper.cs:276;Source/Patches.cs:5944	Thing.GetGizmos overrides;RimWorld.FloatMenuMakerMap.GetOptions	Live S-Defense-Room and settings evidence cover chainsaw/thumper gizmo inventories, selected chainsaw command, priority-work toggles, and real float-menu zap/rope option insertion with clean logs.	No open gizmo/float-menu gap unless new defense UI code changes.	S-Defense-Room owns defense UI behavior.
special_effect_motes	rendering;special_zombies	Source/OverlayDrawer.cs;Source/SubEffecter_ZombieShocker.cs;Source/ZombieBlob.cs;Source/ZombieSpitter.cs;Source/TarSmoke.cs	Thing.DrawAt overrides;Effecter/SubEffecter paths	Special gauntlet, visual lineup, defense-room shocker, tar smoke, and projectile contracts provide behavior and visual-adjacent evidence with clean logs. S-Defense-Room now also has screenshots for real shocker zap arcs and thumper smoke-wave visuals after static/decompiler confirmation of the 1.6 Effecter/SubEffecter dispatch path.	No open defense-room visual/audio gap; future visual work should be named variants or changed art/effect code.	D.SPECIAL.ZOMBIES and F.RENDERING.VISUALS share this evidence; behavior remains with D.
